מטבח כשר,משופצת,"ממ""ד",מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,חדרים,קומה,"מ""ר",מחיר
0,1,1,1,0,1,1,1,1,0,1,1,8,במצב שמור,דופלקס, אשדוד,[],0,5.5,6,225,לא צוין מחיר
0,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,[],0,-,3,96,"1,390,000 ₪"
1,0,1,1,1,1,1,1,0,0,1,1,7,במצב שמור,דירה, אשדוד,"["" רובע ב'""]",1,4,4,120,"1,360,000 ₪"
0,1,1,1,1,1,1,1,1,1,2,2,2,משופץ,דירת גן, אשדוד,"["" רובע י'""]",0,4,קרקע,172,"2,500,000 ₪"
1,,,,,0,,,1,,,,,,מגרשים,מגרשים,[],0,-,קרקע,200,"170,000 ₪"
1,1,1,0,1,0,1,1,0,0,ללא,2,7,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,5.5,4,130,"1,990,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,2,6,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,3,140,"2,200,000 ₪"
1,0,0,0,0,0,1,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ג'""]",1,3.5,3,72,"1,438,000 ₪"
1,1,1,0,0,1,1,1,1,1,1,2,10,משופץ,דופלקס, אשדוד,"[' רובע הקריה', ' הסיטי']",0,9,9,300,"3,600,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,משופץ,דירה, אשדוד,"[' רובע ט""ו']",0,4,6,140,"2,450,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,18,משופץ,דירה, אשדוד,"[' רובע ט""ז']",0,4,8,114,"2,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,4,במצב שמור,דירה, אשדוד,"["" רובע ו'""]",1,2.5,1,54,"1,130,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,6,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,3,144,"2,300,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,4,2,89,"1,560,000 ₪"
,,,,,,,,,,,,,,דירה, אשדוד,"["" רובע ח'""]",0,3.5,2,75,"1,320,000 ₪"
,,,,,,,,,,,,,,דופלקס, אשדוד,"[' רובע י""א']",1,4,2,172,"2,450,000 ₪"
,,,,,,,,,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"280,000 ₪"
,,,,,1,,,1,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"335,000 ₪"
0,0,1,0,0,0,1,1,1,1,1,1,9,במצב שמור,דירת גן, אשדוד,"[' רובע י""ז']",1,5,קרקע,290,"3,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ח'""]",1,4,1,100,"1,540,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,29,חדש,דירה, אשדוד,"["" רובע א'""]",0,4,4,124,"2,500,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,8,משופץ,,,,0,,,,
0,1,1,1,1,1,1,1,1,1,1,,10,משופץ,דירה, אשדוד,"["" רובע ט'""]",1,2.5,4,65,"1,200,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,2,3,משופץ,דירה,דירה,[],0,3,1,70,"1,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,7,במצב שמור,דירה,דירה,[],1,5,4,125,"1,850,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"["" רובע ו'""]",1,5.5,3,130,"1,930,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,8,משופץ,דירה, אשדוד,[],1,3,2,85,"1,240,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,8,משופץ,דירת גן, אשדוד,[],1,6.5,קרקע,462,"3,490,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,,3,משופץ,דירה, אשדוד,"[' רובע י""ג']",1,4,1,101,"1,650,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,משופץ,דירה, אשדוד,[],1,4,3,138,"1,980,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,4,משופץ,דירה, אשדוד,[],1,4,4,130,"2,150,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,15,משופץ,דירה, אשדוד,"["" רובע ח'""]",1,4,3,112,"1,620,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,7,חדש מקבלן,דירה, אשדוד,"["" רובע ב'""]",1,4,5,115,"1,500,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,,במצב שמור,בית פרטי/קוטג', אשדוד,"[' רובע י""א']",1,10,קרקע,380,"4,280,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,4,משופץ,דירה, אשדוד,[],1,2,3,60,"1,080,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""ב']",1,4.5,6,148,"2,298,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,7,חדש מקבלן,גג/פנטהאוז, אשדוד,"["" רובע ב'""]",1,4,7,143,"1,690,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,,10,משופץ,דירה,דירה,[],1,4,7,138,"1,580,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,3,במצב שמור,דירה,דירה,[],1,4.5,3,110,"1,700,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",1,5,7,170,"2,690,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,12,במצב שמור,דירה, אשדוד,"[' רובע י""א']",1,4,1,129,"2,200,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,6,משופץ,דירה, אשדוד,"["" רובע ב'""]",1,3.5,4,90,"1,280,000 ₪"
1,1,0,1,0,1,1,1,0,0,ללא,,7,משופץ,דירה, אשדוד,"["" רובע ו'""]",1,4,2,91,"1,320,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4,5,118,"1,940,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,8,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,4,5,115,"1,790,000 ₪"
0,1,1,0,0,1,1,1,1,0,2,1,12,משופץ,דירה, אשדוד,"[' רובע י""א']",0,4,1,129,"2,400,000 ₪"
1,1,1,1,0,0,1,0,0,1,1,1,1,משופץ,דופלקס, אשדוד,"["" רובע ט'""]",1,5.5,1,170,"2,750,000 ₪"
0,1,1,1,1,1,1,1,0,0,ללא,3,8,משופץ,גג/פנטהאוז, אשדוד,"[' רובע הקריה', ' הסיטי']",0,7,8,190,"3,200,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4,6,121,"1,930,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,7,דרוש שיפוץ,דירה, אשדוד,"["" רובע ה'""]",1,4,1,104,"1,480,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,6,משופץ,דירה, אשדוד,"[' רובע י""ב']",1,5,1,150,"2,650,000 ₪"
